%time,field.header.seq,field.header.stamp,field.header.frame_id,field.child_frame_id,field.pose.pose.position.x,field.pose.pose.position.y,field.pose.pose.position.z,field.pose.pose.orientation.x,field.pose.pose.orientation.y,field.pose.pose.orientation.z,field.pose.pose.orientation.w,field.pose.covariance0,field.pose.covariance1,field.pose.covariance2,field.pose.covariance3,field.pose.covariance4,field.pose.covariance5,field.pose.covariance6,field.pose.covariance7,field.pose.covariance8,field.pose.covariance9,field.pose.covariance10,field.pose.covariance11,field.pose.covariance12,field.pose.covariance13,field.pose.covariance14,field.pose.covariance15,field.pose.covariance16,field.pose.covariance17,field.pose.covariance18,field.pose.covariance19,field.pose.covariance20,field.pose.covariance21,field.pose.covariance22,field.pose.covariance23,field.pose.covariance24,field.pose.covariance25,field.pose.covariance26,field.pose.covariance27,field.pose.covariance28,field.pose.covariance29,field.pose.covariance30,field.pose.covariance31,field.pose.covariance32,field.pose.covariance33,field.pose.covariance34,field.pose.covariance35,field.twist.twist.linear.x,field.twist.twist.linear.y,field.twist.twist.linear.z,field.twist.twist.angular.x,field.twist.twist.angular.y,field.twist.twist.angular.z,field.twist.covariance0,field.twist.covariance1,field.twist.covariance2,field.twist.covariance3,field.twist.covariance4,field.twist.covariance5,field.twist.covariance6,field.twist.covariance7,field.twist.covariance8,field.twist.covariance9,field.twist.covariance10,field.twist.covariance11,field.twist.covariance12,field.twist.covariance13,field.twist.covariance14,field.twist.covariance15,field.twist.covariance16,field.twist.covariance17,field.twist.covariance18,field.twist.covariance19,field.twist.covariance20,field.twist.covariance21,field.twist.covariance22,field.twist.covariance23,field.twist.covariance24,field.twist.covariance25,field.twist.covariance26,field.twist.covariance27,field.twist.covariance28,field.twist.covariance29,field.twist.covariance30,field.twist.covariance31,field.twist.covariance32,field.twist.covariance33,field.twist.covariance34,field.twist.covariance35
1582326881393854302,0,1582326881251075000,husky4/map,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1582326881585142269,1,1582326881351943936,husky4/map,,-0.0808036764923,-0.000169607398169,-0.0376420449049,0.000389285330231,0.00106031306623,-0.00077892749603,0.999999060074,0.00353715662538,-1.02897452198e-06,-0.00253746205282,1.07975048013e-05,-1.42246354337e-06,-3.70223774251e-06,-1.02897452199e-06,0.00100000041731,1.02909839177e-06,-4.3790585218e-09,5.76897275451e-10,1.50148724492e-09,-0.00253746205282,1.02909839177e-06,0.00353776751703,-1.07988046242e-05,1.42263478207e-06,3.7026834245e-06,1.07975048013e-05,-4.3790585218e-09,-1.07988046242e-05,0.00100004595148,-6.05364950098e-09,-1.57557989918e-08,-1.42246354337e-06,5.76897275449e-10,1.42263478207e-06,-6.05364950098e-09,0.00100000079751,2.07566933981e-09,-3.70223774251e-06,1.50148724492e-09,3.7026834245e-06,-1.57557989918e-08,2.07566933981e-09,0.00100000540233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1582326881665637299,2,1582326881452732928,husky4/map,,-0.161885188111,-0.000646241722752,-0.0764734983132,0.000110330283113,0.00202730666732,-0.00122867297443,0.999997189533,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1582326881797609903,3,1582326881553628928,husky4/map,,-0.247180675332,-0.00236653156786,-0.111793370428,0.000268142762955,0.00263986674437,-0.00191782015972,0.999994654563,0.0184985078302,-1.38829535113e-05,-0.0175017578973,0.000140572285647,-1.54817723497e-05,-3.15598741602e-05,-1.38829535113e-05,0.00100001101445,1.38855320472e-05,-1.11527138516e-07,1.22829173715e-08,2.50389501802e-08,-0.0175017578973,1.38855320472e-05,0.0185050085681,-0.000140598394693,1.54846478406e-05,3.15657359005e-05,0.000140572285647,-1.11527138516e-07,-0.000140598394693,0.00100112927157,-1.24371069018e-07,-2.53532683384e-07,-1.54817723497e-05,1.22829173715e-08,1.54846478405e-05,-1.24371069017e-07,0.00100001369747,2.79225401318e-08,-3.15598741602e-05,2.50389501802e-08,3.15657359005e-05,-2.53532683384e-07,2.79225401318e-08,0.00100005692061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1582326881878095019,4,1582326881654621952,husky4/map,,-0.323808749343,0.00118015228476,-0.150444809559,0.000118370994359,0.00143100298127,-0.00119770589844,0.999998261109,0.113631056035,3.50753500957e-05,-0.112625533875,-0.00040782084699,1.77947993457e-05,8.12331564394e-05,3.50753500956e-05,0.0010000109231,-3.5073630395e-05,-1.2700279557e-07,5.54162270075e-09,2.52974756856e-08,-0.112625533875,-3.50736303951e-05,0.113620011985,0.000407800852042,-1.77939268889e-05,-8.12291736792e-05,-0.000407820846989,-1.2700279557e-07,0.000407800852042,0.0010014766606,-6.44324078691e-08,-2.94133570518e-07,1.77947993457e-05,5.54162270076e-09,-1.77939268889e-05,-6.44324078692e-08,0.00100000281143,1.28341841935e-08,8.12331564394e-05,2.52974756856e-08,-8.12291736791e-05,-2.94133570518e-07,1.28341841936e-08,0.00100005858798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1582326882019528793,5,1582326881755293952,husky4/map,,-0.399497668907,0.00665302949214,-0.190895459859,-0.00163243364208,0.00124456513859,0.00322925805745,0.999992689895,0.201017686401,5.48216543611e-05,-0.200008835818,-0.000569238944771,3.14694581042e-05,0.000121970513343,5.4821654361e-05,0.00100001502574,-5.48192285576e-05,-1.56019306295e-07,8.62527602515e-09,3.34301703266e-08,-0.200008835818,-5.48192285576e-05,0.200999985627,0.000569213756516,-3.14680656121e-05,-0.000121965116269,-0.000569238944771,-1.56019306295e-07,0.000569213756516,0.00100162002162,-8.95602856232e-08,-3.47121134924e-07,3.14694581036e-05,8.62527602498e-09,-3.14680656115e-05,-8.95602856214e-08,0.0010000049512,1.91900327844e-08,0.000121970513343,3.34301703266e-08,-0.000121965116269,-3.47121134924e-07,1.91900327847e-08,0.00100007437745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1582326882131332312,6,1582326881856171008,husky4/map,,-0.477919771616,0.00934917476215,-0.223162919203,-0.00421033813578,0.00208502655513,0.00712253654283,0.999963606567,0.239828795224,-7.00284666118e-05,-0.238839363683,0.000647162473262,-3.82942425329e-05,-0.000141818893494,-7.00284666117e-05,0.00100002053348,7.00315654546e-05,-1.89758507171e-07,1.12284914476e-08,4.15835939658e-08,-0.238839363683,7.00315654547e-05,0.239849932609,-0.000647191110972,3.82959370987e-05,0.000141825169149,0.000647162473262,-1.89758507171e-07,-0.000647191110971,0.00100175363807,-1.0376720565e-07,-3.84291457747e-07,-3.82942425328e-05,1.12284914477e-08,3.82959370986e-05,-1.0376720565e-07,0.00100000614017,2.27394988032e-08,-0.000141818893494,4.15835939658e-08,0.000141825169149,-3.84291457747e-07,2.27394988033e-08,0.00100008421346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1582326882232030101,7,1582326881957074944,husky4/map,,-0.55635414939,0.0155059910849,-0.259943489747,-0.00645047731171,0.000795016359277,0.0129032739893,0.999895638945,11.9637326275,0.000444738873404,-11.9626567045,-0.00413666484967,0.000273535369682,0.00119098930166,0.000444738873395,0.00100001653407,-0.000444736050803,-1.53788914469e-07,1.01692327276e-08,4.42774453582e-08,-11.9626567045,-0.000444736050812,11.9635807819,0.0041366385958,-0.000273533633655,-0.0011909817429,-0.00413666484962,-1.5378891447e-07,0.00413663859575,0.00100143044207,-9.45874311606e-08,-4.11839312462e-07,0.00027353536966,1.01692327269e-08,-0.000273533633633,-9.45874311541e-08,0.00100000625456,2.72327158883e-08,0.00119098930166,4.42774453588e-08,-0.00119098174289,-4.11839312466e-07,2.72327158904e-08,0.00100011857287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1582326882332642356,8,1582326882057953024,husky4/map,,-0.628999006343,0.0145978178823,-0.29456563472,-0.00952277786597,0.0006596390692,0.0217757707228,0.999717328818,0.0527983618382,-3.27092613775e-05,-0.0518047914507,0.000294295641463,-2.88519510428e-05,-0.000100679826688,-3.27092613775e-05,0.00100002065501,3.27133215035e-05,-1.85839719969e-07,1.82192249797e-08,6.35765813765e-08,-0.0518047914507,3.27133215035e-05,0.0528112218612,-0.000294332171709,2.88555323697e-05,0.000100692323845,0.000294295641463,-1.85839719969e-07,-0.000294332171709,0.00100167205914,-1.63924169381e-07,-5.72018749744e-07,-2.88519510428e-05,1.82192249797e-08,2.88555323697e-05,-1.63924169381e-07,0.00100001607068,5.60791756246e-08,-0.000100679826688,6.35765813764e-08,0.000100692323845,-5.72018749744e-07,5.60791756246e-08,0.00100019569012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1582326882433129397,9,1582326882158802944,husky4/map,,-0.691793574458,0.0230316631191,-0.325023357135,-0.015892524659,0.000775042327652,0.0350596155164,0.999258572778,0.575893250145,-0.000111226497847,-0.574915027503,0.000902921592053,-8.6068345486e-05,-0.00031160608914,-0.000111226497847,0.00100002151936,0.000111230711185,-1.746912257e-07,1.66519273648e-08,6.0287460314e-08,-0.574915027503,0.000111230711185,0.575936805687,-0.000902955795355,8.60716058151e-05,0.000311617892997,0.000902921592053,-1.74691225701e-07,-0.000902955795355,0.00100141811963,-1.35178083082e-07,-4.89405408794e-07,-8.60683454859e-05,1.66519273648e-08,8.6071605815e-05,-1.35178083082e-07,0.00100001288545,4.66511313689e-08,-0.00031160608914,6.02874603141e-08,0.000311617892997,-4.89405408794e-07,4.6651131369e-08,0.00100016889806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
